generating_model,dataset,param,n,r,p_value,ci_lo,ci_hi,method
BanditSticky,1,kappa,200,0.897,4.769999999999999e-72,0.866,0.921,Pearson's product-moment correlation
BanditSticky,1,kappa,95,0.853,5.82e-28,0.786,0.9,Pearson's product-moment correlation
BanditSticky,1,omega,200,0.811,5.2699999999999995e-48,0.758,0.854,Pearson's product-moment correlation
BanditSticky,1,omega,95,0.941,1.96e-45,0.912,0.96,Pearson's product-moment correlation
BanditSticky,1,tau,200,0.872,2.4799999999999997e-63,0.834,0.902,Pearson's product-moment correlation
BanditSticky,1,tau,95,0.812,1.7599999999999997e-23,0.73,0.871,Pearson's product-moment correlation
BanditSticky,1,theta,200,0.916,1.3099999999999999e-80,0.891,0.936,Pearson's product-moment correlation
BanditSticky,1,theta,95,0.962,4.5099999999999996e-54,0.943,0.974,Pearson's product-moment correlation
MotorSticky,1,kappa,200,0.968,3.199999999999999e-120,0.957,0.975,Pearson's product-moment correlation
MotorSticky,1,kappa,104,0.959,9.030000000000001e-58,0.94,0.972,Pearson's product-moment correlation
MotorSticky,1,omega,200,0.795,6.98e-45,0.738,0.841,Pearson's product-moment correlation
MotorSticky,1,omega,104,0.922,5.99e-44,0.888,0.947,Pearson's product-moment correlation
MotorSticky,1,tau,200,0.917,6.689999999999999e-81,0.892,0.936,Pearson's product-moment correlation
MotorSticky,1,tau,104,0.89,1.25e-36,0.842,0.924,Pearson's product-moment correlation
MotorSticky,1,theta,200,0.888,1.4199999999999998e-68,0.854,0.914,Pearson's product-moment correlation
MotorSticky,1,theta,104,0.962,2.1700000000000003e-59,0.945,0.974,Pearson's product-moment correlation
Omega,1,omega,200,0.836,1.56e-53,0.789,0.874,Pearson's product-moment correlation
Omega,1,omega,103,0.944,2.54e-50,0.918,0.962,Pearson's product-moment correlation
Omega,1,tau,200,0.905,1.4699999999999997e-75,0.877,0.928,Pearson's product-moment correlation
Omega,1,tau,103,0.874,2.23e-33,0.819,0.913,Pearson's product-moment correlation
Reward,1,tau,200,0.979,1.0199999999999997e-137,0.972,0.984,Pearson's product-moment correlation
Reward,1,tau,86,0.979,4.5399999999999997e-60,0.968,0.987,Pearson's product-moment correlation
Theta,1,tau,200,0.962,8.589999999999999e-114,0.95,0.971,Pearson's product-moment correlation
Theta,1,tau,82,0.951,1.3499999999999998e-42,0.925,0.968,Pearson's product-moment correlation
Theta,1,theta,200,0.916,2.1299999999999996e-80,0.89,0.936,Pearson's product-moment correlation
Theta,1,theta,82,0.964,7.209999999999999e-48,0.945,0.977,Pearson's product-moment correlation
ThetaOmega,1,omega,200,0.83,3.3699999999999994e-52,0.782,0.869,Pearson's product-moment correlation
ThetaOmega,1,omega,98,0.923,1.48e-41,0.887,0.948,Pearson's product-moment correlation
ThetaOmega,1,tau,200,0.938,8.099999999999998e-93,0.918,0.952,Pearson's product-moment correlation
ThetaOmega,1,tau,98,0.916,8.509999999999999e-40,0.877,0.943,Pearson's product-moment correlation
ThetaOmega,1,theta,200,0.928,6.769999999999998e-87,0.906,0.945,Pearson's product-moment correlation
ThetaOmega,1,theta,98,0.966,4.55e-58,0.949,0.977,Pearson's product-moment correlation
