generating_model,param,k,mean_r,sd_r,mean_z,se_z,z_lo,z_hi,pooled_r,pooled_r_lo,pooled_r_hi,prop_sig_p05
BanditSticky,kappa,1,0.951,NA,1.838867425567023,NA,NA,NA,0.951,NA,NA,1
BanditSticky,omega,1,0.837,NA,1.2111194833578582,NA,NA,NA,0.837,NA,NA,1
BanditSticky,tau,1,0.859,NA,1.2877877692760693,NA,NA,NA,0.859,NA,NA,1
BanditSticky,theta,1,0.962,NA,1.9781444792520442,NA,NA,NA,0.962,NA,NA,1
MotorSticky,kappa,1,0.984,NA,2.4246778117621983,NA,NA,NA,0.984,NA,NA,1
MotorSticky,omega,1,0.778,NA,1.0398158106798234,NA,NA,NA,0.778,NA,NA,1
MotorSticky,tau,1,0.834,NA,1.2007257773407236,NA,NA,NA,0.834,NA,NA,1
MotorSticky,theta,1,0.961,NA,1.9540090344311478,NA,NA,NA,0.961,NA,NA,1
Omega,omega,1,0.86,NA,1.2932256662542612,NA,NA,NA,0.86,NA,NA,1
Omega,tau,1,0.927,NA,1.6388284773073574,NA,NA,NA,0.927,NA,NA,1
Reward,tau,1,0.811,NA,1.1286175261326763,NA,NA,NA,0.811,NA,NA,1
Theta,tau,1,0.869,NA,1.3303032219486484,NA,NA,NA,0.869,NA,NA,1
Theta,theta,1,0.95,NA,1.836345811178854,NA,NA,NA,0.95,NA,NA,1
ThetaOmega,omega,1,0.819,NA,1.1541540183439596,NA,NA,NA,0.819,NA,NA,1
ThetaOmega,tau,1,0.877,NA,1.3622751022470585,NA,NA,NA,0.877,NA,NA,1
ThetaOmega,theta,1,0.959,NA,1.9324402830015361,NA,NA,NA,0.959,NA,NA,1
